.1.3.6.1.4.1.4458.1000.1.1.1.0 "PTMP SU"
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.13 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.14 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.15 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.16 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.17 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.18 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.19 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.20 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.21 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.22 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.23 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.24 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.25 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.26 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.27 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.28 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.29 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.30 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.31 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.32 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.33 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.34 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.35 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.36 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.37 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.38 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.39 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.40 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.41 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.42 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.43 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.44 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.45 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.46 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.47 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.48 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.49 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.50 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.51 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.52 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.53 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.54 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.55 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.56 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.57 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.58 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.59 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.60 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.61 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.62 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.63 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.64 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.65 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.66 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.67 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.68 0.0.0.0
